"Scholl","W.L.","Operating.Expenses.per.Team.Men.s.Team","Revenues.Men.s.Team","Expenses.Men.s.Team","Coference","clustergroup"
"338","Western Carolina",0.219,208570,1089269,1089269,"Southern Conference",5
"339","Cal Poly",0.207,477268,2181492,2181492,"Big West Conference",5
"340","Delaware State",0.194,200570,910671,910671,"Mid-Eastern Athletic Conf.",5
"341","Incarnate Word",0.194,196159,1416859,1371582,"Southland Conference",5
"342","Kennesaw State",0.188,376061,1511263,1510719,"ASUN Conference",5
"343","Mississippi Valley State",0.188,237366,733665,576526,"Southwestern Athletic Conf.",5
"344","South Carolina Upstate",0.188,184083,1167592,1167592,"Big South Conference",5
"345","New Hampshire",0.172,228705,1601005,1601005,"America East Conference",5
"346","Alabama A&M",0.156,184268,1591652,1667122,"Southwestern Athletic Conf.",5
"347","Idaho",0.156,476316,1729001,1729001,"Big Sky Conference",5
"348","Maine",0.156,383384,1432766,1432766,"America East Conference",5
"349","North Carolina-Asheville",0.129,198337,1183573,1183573,"Big South Conference",5
"350","San Jose State",0.129,295732,2035793,2035793,"Mountain West Conference",5
"351","Tulane",0.129,1399228,4984520,4984520,"American Athletic Conference",5
"352","Chicago State",0.094,71553,978120,801305,"Western Athletic Conference",5
